[p.sfm] v2212	Sort	S	M	P	F	C	Description	U2.3	U2.35	U2.4	U2.404	U3.0	V2211	Special	Base	Face	Vert	Horz	Extra	X2	.	Example
zpa-d	 S	1	1				Description [PA]				S		0.5		rem							
zpa-v	 S	1	1				Verse [PA]				S		0.5		rem							
conc (&)	 A		1	1			OBSOLETE Concordance division	9	9	9	S		0		rem							
cov (&)	 A		1	1			OBSOLETE Cover division				S		0		rem							
esb (&)	 A		1	1			Study Bible Sidebar Start		84	86			0		rem							
esbe (&)	 A		1	1			Study Bible Sidebar End		84	86			0		rem							
glo (&)	 A		1	1			OBSOLETE Glossary division				S		0		rem							
idx (&)	 A		1	1			OBSOLETE Index division				O		0		rem							
intro (&)	 A		1	1			OBSOLETE Introduction division				O		0		rem							
maps (&)	 A		1	1			OBSOLETE Maps division				O		0		rem							
pref (&)	 A		1	1			OBSOLETE Preface division				O		0		rem							
pub (&)	 A		1	1			OBSOLETE Publication division				O		0		rem							
pubinfo (&)	 A		1	1			OBSOLETE Publication Information div				O		0		rem							
spine (&)	 A		1	1			OBSOLETE Spine 						0		rem							
zz																						
zz																						
